,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
95%,-22.31921020780498,-52.66481301426637,0.0276,0.0261,0.0548,0.0373,0.0989,0.477,0.6397,0.6375,0.6648,0.6626,0.2703,0.1477,53.28,5.99,19.6,8.55,2.81,1.97,32.92,11.42,193.67,98.67,44.85,2.1,2.3,157.97,6.07,1404.29,34.88,0.47,0.07,2.73,2.74,-0.02,1.62,0.11,-0.27,-0.31,4.1,1.85,0.85,2.01,15.18
99%,-22.318629334910963,-52.66418391433379,0.032252000000000045,0.0372,0.06850400000000008,0.0802,0.13055200000000003,0.4809,0.6451520000000001,0.643552,0.6699,0.6699520000000001,0.3021040000000001,0.19941200000000026,53.28,5.99,19.6,8.55,2.81,1.97,32.92,11.42,193.67,98.67,44.85,2.1,2.3,157.97,6.07,1404.29,34.88,0.47,0.07,2.73,2.74,-0.02,1.62,0.11,-0.27,-0.31,4.1,1.85,0.85,2.01,15.18
max,-22.318380388644908,-52.66391430007696,0.0403,0.0813,0.1209,0.1942,0.2206,0.4862,0.6556,0.6529,0.6778,0.6793,0.3798,0.3293,53.28,5.99,19.6,8.55,2.81,1.97,32.92,11.42,193.67,98.67,44.85,2.1,2.3,157.97,6.07,1404.29,34.88,0.47,0.07,2.73,2.74,-0.02,1.62,0.11,-0.27,-0.31,4.1,1.85,0.85,2.01,15.18
range,0.008961785811880674,0.009706113245592007,0.022400000000000003,0.0678,0.09369999999999999,0.184,0.1702,0.22700000000000004,0.36869999999999997,0.3668,0.36749999999999994,0.2746,0.20480000000000004,0.2502,18.03,1.3600000000000003,4.220000000000001,1.580000000000001,0.22999999999999998,0.3799999999999999,5.780000000000001,3.7699999999999996,113.14999999999999,27.840000000000003,9.25,1.44,1.0299999999999998,67.57,2.58,476.52,21.550000000000004,0.39999999999999997,1.1600000000000001,1.95,3.4200000000000004,1.21,2.44,2.42,0.79,3.12,5.81,2.62,3.22,1.9099999999999997,13.99
coef_of_variation,-0.00010147092781340212,-4.65100746106499e-05,0.11199326288865598,0.16980186239662523,0.09722064507891649,0.5826982139628836,0.136217278607796,0.06139094366013375,0.07447801569770184,0.07945033579189971,0.07287771186579942,0.0688996765285574,0.04844712620548767,0.14160461934487895,0.12699539210259864,0.07609724891224905,0.06556564303612575,0.05824838115767668,0.027614039244666124,0.05228894990326077,0.05467663060938789,0.1302061714997596,0.35151103358757496,0.0950169177633542,0.07497482721952112,0.3659078039355189,0.17906182199028042,0.1966942514136421,0.1493800938889439,0.12408520447171258,0.382703198838743,0.48685076854548753,-0.9280743013131291,0.29561765457000555,5.82498337153008,-0.8873136905924948,-6.088979195385375,-0.5103213352946537,-0.3291078546411464,-0.3343185281896059,1.2799860932339904,0.5979569563921197,2.52761005794826,0.880298321541673,0.31649296014119926
iqr,0.003651097925938984,0.003954342433395652,0.0013000000000000025,0.0016000000000000007,0.0020000000000000018,0.002100000000000001,0.002999999999999989,0.02310000000000001,0.03539999999999999,0.034700000000000064,0.03660000000000008,0.03720000000000001,0.0121,0.0063,9.100000000000001,0.4300000000000006,1.6099999999999994,0.7599999999999998,0.07999999999999963,0.1200000000000001,2.34,0.7000000000000011,25.85000000000001,13.620000000000005,5.329999999999998,0.77,0.3699999999999999,26.63000000000001,1.21,111.75999999999999,3.8100000000000005,0.08000000000000002,0.24999999999999997,0.51,0.39,0.35000000000000003,0.45,0.5799999999999998,0.32999999999999996,0.7200000000000002,0.3400000000000001,0.66,0.34,0.10000000000000003,1.7699999999999996
skewness,0.00025932450988710586,-0.001403285385161105,2.762865802241147,7.958346585869405,7.07562122346878,7.343934748063203,6.049816319611762,-2.5493749036963687,-2.6298807290589656,-2.904511257382454,-2.5944567665235208,-1.7843996523597818,1.6905938656860857,5.390662827637815,-0.11997279858153546,0.299613071466706,-0.29274684037875276,-0.3145821920168555,-0.49983974917875634,0.12828594183017003,0.010234534966135179,0.9587323860640972,1.156784079013817,-0.3772631830247415,-0.38107379512155665,0.12314853859552494,0.23922006934858295,0.9186924142553776,0.1466653096542623,0.47699686007839387,1.4761520827438577,1.391020564702966,-1.0665666868519115,-0.49180574939356514,2.252408449366669,-1.455271886476517,1.7373703770341673,0.2757790158184353,0.4022184069678658,1.4182920834018782,0.44751649226436846,-1.9067601956290159,-2.6308383677952936,2.175521014436315,-1.8674038806721194
kurtosis,-0.9995819242102337,-0.9995408159995889,9.885372884786479,85.21588506096914,73.87116031081825,67.53316963638132,51.651736329425304,8.699847826632846,9.23711817870964,10.659905801501042,8.961481619983951,3.145553951523699,17.37270062253284,41.12788049699924,-1.0939043095375518,-0.7096236015030275,-0.7025538825150339,-0.9520519926135607,-1.0000086541931363,-0.11971330086050447,-0.7073687633069063,-0.4311373753460259,-0.4331577358582943,-0.7682661045165102,-1.1548594386567013,-1.1784627217728627,-0.8254719377694086,-0.5471442739401686,-0.44892800990199255,-0.5475229063702849,0.6243618469896925,1.1381202151486742,0.4632426538520913,-0.5327867322205453,4.0916944079289195,1.5425962140437517,2.7270059568118827,0.10279035382166457,-0.8277428558647073,1.6295848012941438,-0.26312697951433606,3.1101539580444624,5.264769536838443,4.0247959389242425,3.1582943345726755
confidence_interval_low,-22.32290342197613,-52.66878938119859,0.022124142983760902,0.022620886989523605,0.0499915932501676,0.021921385922650093,0.08264288529320832,0.4521222271394832,0.6012127267075342,0.5980133990554706,0.6251404092036562,0.6211273143281543,0.2566006717783137,0.12223821993538658,44.7053500574893,5.164912965515596,17.796553581476932,7.840365781260991,2.7062325591409873,1.7639554730070888,29.921589071240103,9.030804746422294,116.07246236991813,85.15483292768481,40.60360823116202,1.1907712618116395,1.7176834289191119,113.28598396812342,4.567270929892093,1113.8081692138817,18.563708236372136,0.21129515896131618,-0.36116114910566577,1.8092520266084335,0.13337684181098694,-0.3840557963066625,-0.11496754289669602,-1.2602640447669682,-0.7194631056876482,-2.40751572505702,1.2682245334702886,1.1090179893060566,0.33371516355896297,0.5521291424141148,10.913278101176537
confidence_interval_high,-22.322811579589583,-52.66869005776954,0.02222483551661347,0.02277716627820556,0.050189046390435664,0.02244549823608347,0.08310059529295064,0.45324904251502535,0.6030310212869039,0.599942959913403,0.6269903855337488,0.622864941528087,0.2571052219001546,0.12294207742261962,44.936141011074184,5.180873749641107,17.843927753425202,7.858904728954003,2.709264285441321,1.767699249423118,29.98799698074406,9.07860802499711,117.73865753595416,85.4835326729142,40.72722929156769,1.2085698441890027,1.7301997671446379,114.19308331179954,4.595018084975807,1119.426095413351,18.854017723623592,0.2155077076554342,-0.34782162980116915,1.831068863326319,0.16909614995283825,-0.37048265700385213,-0.08970247528706686,-1.234454106907008,-0.7099261338032068,-2.3751005975443285,1.3357972870452743,1.136236048558956,0.3697632833337528,0.5721943146401156,11.054228584030437
