,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
95%,0.09110658089764381,0.06627577701597082,0.09026164346823469,0.05448839212004949,0.019158354728394056,0.11092115614678903,0.05201517090486474,0.1250576584968142,0.13590808422410225,0.10747652967269443,0.1689090324750753,0.22526443777451785,0.19282584354032378,0.15216540012863713,0.9307090212415672,0.17277817742562795,0.2862746393694351,0.24275176636313195,0.7450119278908625,0.5673601930841716,3.9295931599693668,5.482827233918528,0.41963328668765476,4.737016558614991,1.2372408779038642,0.20688277040857186,0.6244409911987695,0.8841518592865606,0.6821041397113962,0.8376787058396691,0.1973842186181289
99%,0.1821765374549887,0.09106108614542645,0.11709774919738748,0.06802290567505365,0.02980238292932369,0.2601355819809537,0.07663336251658831,0.139716595834881,0.1856877434771378,0.13810793714042993,0.23056151480328752,0.464730347047357,0.2908430629034193,0.19020513555326604,1.199838736023909,0.20826127589461166,0.36957544770221096,0.3213428350296365,0.9709931388181806,2.09102035692162,20.2441306679003,23.673779210154667,0.6526420557537306,21.95020635392849,2.195713203418853,0.2744331185018576,0.837958333401445,1.136641527505337,0.8260123915580059,1.1247354752331822,0.24917456473919963
max,0.2811048326354967,0.1304681628819544,0.2120587081231239,0.0969618038316293,0.0524806038601417,0.5286623091559027,0.0844909744248882,0.1942282570661208,0.2146953901740402,0.173303125209668,0.2898282292051802,1.2849153820678956,0.3307529542314171,0.3153560863542109,1.4826914716504624,0.2283210054844772,0.5465946681295799,0.3917316177055904,1.47149597593698,618.9999929442255,7988.214878294586,2447.3101168515277,0.8083619004045097,3948.445784415964,2.828546611980748,0.2987526902562221,0.9537045122409272,1.320692038046958,0.9431716625302926,1.282974026921298,0.2939020135853956
range,0.2810937175360293,0.1304633950958113,0.21205461402070513,0.0969580991152741,0.05248038618659902,0.5286592272041204,0.0844899395259819,0.19422775491568078,0.2146906158698364,0.1733026589079638,0.2898244088613134,1.2849004680879554,0.3307474129002927,0.3153414197899683,1.4826094592283428,0.2282987263256205,0.5465761398910107,0.39172260610941934,1.471376520040166,618.9999900252461,7988.214786671394,2447.309992102233,0.8083367147409836,3948.4457450248515,2.8285450098290377,0.29873485064157573,0.953651265001834,1.3206898185903773,0.9431241569821366,1.2827897291556964,0.29389318958934463
coef_of_variation,1.1383318586821334,0.7847059289487859,0.637780518061136,0.7306271176790462,0.8948291461018612,1.3818999021654552,0.9110950029044284,0.7999887986394684,0.6551621954936149,0.7169109242283651,0.8159024295091863,1.0763040869646174,0.6910696505732564,0.6090588743186169,0.8766828422855649,0.7929042821525003,0.665838446009616,0.8107406307022336,0.7554787340360227,20.241774395501427,32.55883975185711,15.877831755796803,0.8949850278243676,19.136984899423847,1.3054416691348034,0.8926661982383951,0.7879324261684488,0.9325705996772072,0.7652371249767089,0.9673680958235459,0.76600435095357
iqr,0.024881360815074402,0.0260789714596972,0.037285104893113805,0.025388340866699503,0.0068503108037233,0.02761511320312045,0.0161888079777689,0.051429633112118595,0.05979941444173415,0.043284278601043794,0.06385156949935439,0.076612945748364,0.09175958545552065,0.07113848593145054,0.238007936288607,0.0577078848662793,0.14025964992867446,0.0881851302799043,0.28938331673873946,0.1630710538437201,0.6835639151412894,0.3890574921739417,0.13765701631644606,0.8221563046272444,0.22547341194080134,0.09215897346144217,0.23940007243571257,0.2882119200687461,0.2760489060477394,0.2858043054731771,0.08799210333355235
skewness,2.936779344880238,1.2359867198302021,0.7983606960191512,0.7358223411408675,1.8483270557022047,4.367827696768523,1.7999731247449249,0.8979499387633355,0.6961375035059474,0.9115519994193805,1.3926340768048788,3.9376463997156814,0.8198427969909361,0.4829292149644481,1.6607679690995112,1.136031342443446,0.5986177088342102,1.2260180471108344,1.1541812828915998,87.7269562935442,87.76804234123593,58.4893741036517,1.8718949419011257,50.1443642959552,2.8959377161312534,1.1673949681964495,1.1313820429047916,1.4677114063274668,0.9343408472205977,1.4944705952403434,0.8230472063386844
kurtosis,10.645363401713986,1.8010813959512948,0.8189890179385082,-0.022720272186042667,4.846390575793546,26.872806895768782,3.6164264885774564,-0.1967619527306823,0.3115198121049261,0.4632134640734211,2.340245901170097,26.269835465711697,0.6988625466209051,0.10318138854071401,2.5445588562865016,0.6911167973615586,-0.050476857070230086,1.202632676100511,1.5215533454212586,8101.617163198415,8102.817849893415,3817.1911563801877,4.345597593337891,2761.211984761708,9.509500025944831,0.8661407636154075,1.1354651905371664,1.8816889042820977,0.17477841592575372,1.8666857114125621,0.01401570157841281
confidence_interval_low,0.027762139329215736,0.025742436627239452,0.04131919558533825,0.022729895039883454,0.006827417401222461,0.03368157016578598,0.016974099654032213,0.046441520800235565,0.062078283733881495,0.04406035442991996,0.060562178199155596,0.08187226043204025,0.08898903151988806,0.07503434635039116,0.2981322315853571,0.06184216210927469,0.13108903602397037,0.08871576414935939,0.28707656915751845,0.19359036915443475,0.9018055932363294,1.4759130034832872,0.1423836772724225,2.049769662726228,0.30863149970567827,0.07127333601758949,0.23394647023668882,0.275951023880175,0.2613991832856242,0.2610623097992925,0.07886306140247008
confidence_interval_high,0.02906622762154306,0.02656996815354586,0.042395527011050455,0.023409474703709226,0.0070782622992545995,0.03561194710852337,0.017609290391835213,0.047964010189440444,0.06374003351870935,0.04535258043795887,0.06258773898021784,0.08550388957490794,0.09150354574070928,0.0768998136204685,0.30885972790962196,0.06385128418907339,0.13465606855529472,0.09166386514669425,0.2959560593754792,0.46049482881395243,4.346736917251828,2.8655446422164537,0.14761589805087752,4.624678017558085,0.3253148356833411,0.0738855309885972,0.24149847291546897,0.28652550469227733,0.2695905253943683,0.27144695973918825,0.08133687229608673
