,Unnamed: 0,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
95%,8981.3,0.19594900215148026,0.07607722454976001,0.09734418269996524,0.11638259653064682,0.029609316705890336,0.1257238961499324,0.08010565224524202,0.11959201273285433,0.1659909445253005,0.11764797918815814,0.17716444569078355,0.24387127105185402,0.2032671431838178,0.17459332047785234,0.8470973923453179,0.15644612432790378,0.30450251060999495,0.24307792476000975,0.82408490758641,0.7187289851804209,4.294285716175459,8.20468479238678,0.3614052707289632,3.6865044907274003,1.1129355826921254,0.22429653520310375,0.7123004843355475,0.6676561114543493,0.6586929647699674,1.034734414563961,0.22126666523051525
99%,9359.46,0.33160679994621006,0.11238984765715176,0.17226870140034187,0.20183868794029342,0.08090434691576293,0.2741715875480184,0.21432151192741478,0.16802147191448674,0.2340720759477294,0.18217742406197807,0.24614703070063612,0.4639210044574802,0.2506425905573281,0.30595771739524635,1.1306040861657645,0.21289266512926844,0.3868944475896528,0.38806874787336404,1.048585638529985,2.365345317274505,20.94706272058099,40.50227520360438,0.4862439129672385,14.682046780128825,2.2953793442829236,0.300922418046731,0.8726528584931976,0.9473012514794596,0.8211804285036817,1.382158561897901,0.3171608297689635
max,9454.0,0.7677721922522119,0.238125311661503,0.4345664403734152,0.5011109007267821,0.2255620846837046,0.5483789479835911,0.5331025186669358,0.3930108431880657,0.44286894564359,0.4670552290766016,0.454013218700019,1.279716518758221,0.3513460289448387,0.452171120406852,1.3872141053645788,0.4232360847024438,0.7014464280461634,0.4795732444621818,1.6831454916542237,722.7776453372497,7017.531091328782,5653.837390241377,0.5872851851039311,4238.558832233356,3.195092831774116,0.3689915959152073,1.1096852272549786,1.2165497481241054,1.0098910455761725,1.5150341635593532,0.4924054550863309
range,9454.0,0.7677698001965633,0.23812308551392827,0.4345566494726094,0.5011080315943306,0.2255616278974293,0.5483723956301653,0.533098082835419,0.39300656257890487,0.4428455565658213,0.4670530431512559,0.45399010856278427,1.2797104305312077,0.3513408858321568,0.4520852140345164,1.3870301732756614,0.4232311614424276,0.701435562243811,0.47955192426042614,1.6830660536254,722.7776234253155,7017.531077724375,5653.837385669601,0.5872596181859264,4238.558186816893,3.195009722147429,0.36899027243650545,1.109649384226216,1.2165470053728225,1.0098089964004444,1.5149758399053206,0.4924037463004495
coef_of_variation,0.5774418725079374,1.439204253914348,0.86471359839731,0.8231707404072637,1.0949104641384149,1.4576441044343673,1.2451992690715594,1.2591600272919052,0.8257979201387189,0.7727914534954313,0.9545966721798899,0.7938361697124986,0.9658794997761614,0.7288908704498421,0.7042397683250583,0.8509443783286803,0.818897763615867,0.6748091267360643,0.7687151810039387,0.7454912453056969,20.162204633487324,28.79037428849372,20.07171223230258,0.7377420421567559,21.288894654018637,1.2838554354636245,0.8212714353201932,0.8238204235552564,0.8907407906372986,0.7560589293855674,1.0472379644636542,0.8353397027693231
iqr,4727.0,0.0378225846710046,0.027255482479730597,0.042420490034691845,0.03022222773129725,0.0101384237369646,0.03741102709510839,0.028809769041662252,0.049547913058330686,0.06894895397497694,0.042870869195071395,0.052984285617948094,0.0899055424198673,0.08735953158478185,0.0728443518787302,0.2291659808751676,0.0494461297875181,0.14374270211298362,0.09474854186597556,0.3362017965993034,0.21743509306205347,0.8434440779074706,0.323258990157493,0.16083884487393496,0.6987285204875351,0.21440659684414182,0.0874658413197231,0.23968521414732608,0.25922108191945986,0.24595862431249627,0.28734535912735026,0.0927887654805066
skewness,0.0,4.307080637317048,2.173996602689519,3.175617813648936,4.231051641591966,6.133999873951079,3.8014094406407275,5.450808291991458,2.0831047083895506,1.6178880305205685,3.0774406121051103,1.8901466850669948,3.4020631554023493,0.8705996644112216,1.5924193313841462,1.629912252528403,1.9419912708570437,0.7152970218166332,1.4165462883734312,1.091274986992501,87.23573048057571,86.62572197663707,63.73158295773488,0.9477628603778046,55.29859092633899,3.3060983928838725,1.2411750755659372,1.2439011808409146,1.4069571959557137,1.0665373053603933,1.8342079920441257,1.3390809946804105
kurtosis,-1.2000000000000002,26.02145895502507,8.648797566588936,20.710871855990405,27.958432084234584,52.22783812173226,20.9637625793538,43.3591393228454,9.597265398851405,5.007084877482552,17.383141253559554,5.435052404043913,21.364846983932566,0.3768935327890799,5.183143746787258,2.6928220454781258,6.612571999961534,0.6371302938142711,2.815333154915077,1.5246856973448262,8021.441699002913,7940.679455419324,4483.001024728334,0.6828879940528716,3417.3853267936997,12.817723745054032,1.4993915849202901,1.1299654392579903,2.0409168232134807,0.8078939109821293,3.149729804938934,2.27456035028682
confidence_interval_low,4671.974144354473,0.04665735708035547,0.028488164931604748,0.044314981551251215,0.03773857449276968,0.010987033570171036,0.03987751330555975,0.03173959282468838,0.04760400601124926,0.06871294953566892,0.04386224906405018,0.06477031051784093,0.0936951087605589,0.08290653530357575,0.08157287988207364,0.28231675892958197,0.05729773669485823,0.13832312915942868,0.10040920837376437,0.33128787781174196,0.2281689466961846,1.0996703285599139,2.1805767329692323,0.146904598747884,1.588350683917849,0.3140252493204646,0.0815209156612809,0.2482551834668083,0.2334828861502418,0.2495543986432088,0.28898535462254654,0.08329141108385656
confidence_interval_high,4782.025855645527,0.04944560995907331,0.029498992404718892,0.04581056540400347,0.039442145984940155,0.011652288098983821,0.04193108921137925,0.033392892216162894,0.04921580524725603,0.07088776738257732,0.04558353378875337,0.06687707530858031,0.09741630438414238,0.08537930121834467,0.08392239955439156,0.29217173184861167,0.05922126854807337,0.14213841604183763,0.10357021012450383,0.3413973236651535,0.5406637408635621,4.141727379399381,5.144529499818968,0.15134017764611954,3.9766741793533207,0.3307120015077566,0.08426570569405713,0.2566402581165409,0.24202132830476522,0.25727932016724003,0.30145031473801237,0.08614467512903802
