latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B09.tiff,B10.tiff,B11.tiff,B12.tiff,B8A.tiff
-23.19156842099696,-54.43602197970264,0.1264,0.1103,0.1146,0.1377,0.1563,0.2608,0.3133,0.2817,0.0419,0.0014,0.3213,0.2096,0.3352
-23.19165087180595,-54.4392573507845,0.1242,0.1071,0.1137,0.1257,0.1539,0.2456,0.2967,0.2711,0.0417,0.0015,0.2974,0.1914,0.3222
-23.19165087180595,-54.438448508014034,0.1248,0.108,0.1093,0.1284,0.1538,0.2472,0.2964,0.2803,0.0423,0.0015,0.3273,0.209,0.328
-23.19165087180595,-54.43835863659509,0.1248,0.1017,0.1063,0.1074,0.1427,0.2501,0.3036,0.2777,0.0424,0.0015,0.3188,0.1976,0.3347
-23.19165087180595,-54.43826876517616,0.1246,0.1011,0.1035,0.1083,0.1323,0.2596,0.3167,0.2839,0.0427,0.0015,0.3062,0.1847,0.3409
-23.19165087180595,-54.43817889375721,0.1245,0.0987,0.1007,0.0961,0.1261,0.267,0.3275,0.2971,0.0429,0.0014,0.2983,0.1745,0.35
-23.19165087180595,-54.43808902233828,0.1243,0.0963,0.0981,0.0834,0.1258,0.2701,0.3347,0.3249,0.0432,0.0014,0.2981,0.1675,0.3655
-23.19165087180595,-54.43799915091933,0.1241,0.0967,0.0986,0.0845,0.1269,0.2711,0.3375,0.3219,0.0435,0.0014,0.2998,0.1649,0.3741
-23.19165087180595,-54.43790927950039,0.1239,0.0988,0.1001,0.0927,0.1274,0.2703,0.3339,0.3033,0.0437,0.0014,0.3017,0.1692,0.3655
-23.19165087180595,-54.43781940808145,0.1238,0.0988,0.0995,0.0963,0.1282,0.2682,0.3284,0.2973,0.0438,0.0013,0.3036,0.1747,0.3539
-23.19165087180595,-54.43772953666251,0.1236,0.0983,0.0989,0.0936,0.1297,0.2641,0.3239,0.3009,0.0437,0.0013,0.3047,0.1758,0.3507
-23.19165087180595,-54.437639665243566,0.1235,0.1003,0.1009,0.0921,0.1311,0.2602,0.3206,0.3047,0.0436,0.0013,0.3048,0.1747,0.3509
-23.19165087180595,-54.43754979382463,0.1234,0.0999,0.1019,0.097,0.1296,0.2626,0.3239,0.303,0.0434,0.0014,0.302,0.1719,0.3541
-23.19165087180595,-54.43745992240569,0.1232,0.0976,0.1009,0.0919,0.1266,0.2681,0.3304,0.298,0.0431,0.0014,0.2974,0.1679,0.3585
-23.19165087180595,-54.43737005098675,0.1232,0.0965,0.0975,0.0877,0.1263,0.2654,0.3264,0.3032,0.0429,0.0014,0.2936,0.1679,0.3511
-23.19165087180595,-54.43728017956781,0.1231,0.0952,0.0967,0.0836,0.1282,0.2558,0.3132,0.3038,0.0427,0.0014,0.2906,0.1712,0.3333
-23.19165087180595,-54.437190308148864,0.1232,0.0977,0.0993,0.0935,0.1293,0.2502,0.3072,0.2835,0.0426,0.0014,0.2903,0.1728,0.3257
-23.19165087180595,-54.43710043672993,0.1233,0.0991,0.0986,0.1038,0.1294,0.249,0.3099,0.2688,0.0425,0.0014,0.2935,0.1723,0.3305
-23.19165087180595,-54.437010565310985,0.1234,0.0982,0.0966,0.0952,0.1282,0.2526,0.3166,0.2812,0.0426,0.0014,0.2945,0.1702,0.3387
-23.19165087180595,-54.43692069389204,0.1236,0.0969,0.0987,0.0858,0.1247,0.2639,0.3288,0.3064,0.0426,0.0014,0.2907,0.166,0.3496
-23.19165087180595,-54.43683082247311,0.1239,0.0964,0.0997,0.0865,0.122,0.2727,0.3382,0.3107,0.0426,0.0014,0.2871,0.1619,0.359
-23.19165087180595,-54.43674095105416,0.1241,0.096,0.0984,0.0894,0.1227,0.2714,0.3388,0.3036,0.0427,0.0014,0.2862,0.1587,0.3647
-23.19165087180595,-54.436651079635226,0.1243,0.0957,0.0978,0.0882,0.1244,0.2668,0.3353,0.3018,0.0427,0.0014,0.2867,0.1577,0.3656
