,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
95%,0.29586377035940287,0.16628819444444534,0.20647956321542563,0.10843047963255742,0.08499764274489234,0.13150943396226394,0.13298902880890792,0.23963968156335205,0.8991977857225233,0.17159831553820878,0.12694209590221298,1.028529411764707,0.31040212256076694,0.5587737785307518,0.31479145448876794,0.24680912913094005,0.7123889152802583,1.6950285714285724,48.688000000000024,1.6491282051282088,15.69400000000001,6.852181818181821,9.66600000000001,1.783697732104894,6.030000000000001,0.5893819453891761,3.5512015503876024,0.9780160000000003,3.223714285714286,5.699000000000006,0.733461988304093
99%,0.37107827329456017,0.21482956120092273,0.32002542498152153,0.13158816901408507,0.10579590361445662,0.16336855345911994,0.17584001147385328,0.2868966398492564,1.60335395659645,0.22682143929767795,0.1721402698240116,1.3722925526450958,0.4282451134784636,0.9256885562425434,0.42031448738556076,0.36060433512616097,1.4336656769041976,3.2966857142857204,,3.7963300000000033,65.68680000000033,21.657599999999974,19.951200000000025,14.07821818181819,20.527333333333367,7.4908516129032305,6.416181960784345,3.0248727272727245,8.502171428571435,15.343733333333343,9.554752941176483
max,0.4684594298245639,0.3775288683602782,0.4426755358462653,0.1825263157894721,0.1558799999999971,0.2444025157232715,0.2544841562269699,0.4632786885245888,2.9508568792526746,0.3797472822250442,0.2152219101123606,2.4015254237288093,0.6983464566929164,1.5811454604620876,0.6095988538681947,0.4316473530458005,2.1177403846153875,6.308571428571433,inf,5.724749999999992,253.4000000000004,56.01000000000003,40.74999999999995,22.529090909090925,42.60666666666658,8.623870967741933,11.680281690140855,3.450779220779215,23.98571428571432,43.16666666666663,13.18957983193276
range,0.4684594298245623,0.37752886836027727,0.44267553584626484,0.1825263157894712,0.1558799999999966,0.24440251572327112,0.2544809694838223,0.4632786885245864,2.9508040498307513,0.37972254644811576,0.2152219101123593,2.401525423728809,0.6983464566929161,1.5810819892430024,0.6095988538681933,0.43164735304579877,2.1177403846153853,6.308571428571433,inf,5.724749999999991,253.4000000000004,56.01000000000003,40.74999999999995,22.529090909090925,42.60655303030294,8.623870967741933,11.680180680039845,3.450779220779215,23.98571428571432,43.16666666666663,13.18957983193276
coef_of_variation,0.8401623563174744,0.8610059954145423,0.8070530207058888,0.7937386543046993,0.737169174963844,0.7175797744072311,0.733502179028779,0.828530957403888,1.076081547909793,0.7192178751886683,0.8239618156509154,1.0029593953764329,0.8472411912991654,0.98879683764682,0.8077604124987042,0.7749883839153121,1.083373382762932,1.2339585223696392,,1.798770923615691,3.691053453890006,2.6137712794127594,2.2019587360256394,2.935790702874927,2.6335817206572,3.225708082254418,1.2665721936090046,1.7941549052128838,2.0303971980383344,2.4234574309345973,3.4125654620263712
iqr,0.10778748237650171,0.0713606529882022,0.0812586776681281,0.0480817019705571,0.0379425696075151,0.051415164909894805,0.06110898661567771,0.1081909430438818,0.38417370232819903,0.07374437392100221,0.052443146344999705,0.34742574257425735,0.1238747091059241,0.2238594763720085,0.1419523809523808,0.10103990636649302,0.2709072924244788,0.48521126760563305,2.093809523809526,0.26224369559456195,1.2864092664092666,0.7888176850471927,0.7659090909090901,0.3757303370786514,0.6568283917340525,0.15668323765559872,1.0896252745832808,0.2205084745762697,0.48864182692307623,0.6673103233830852,0.1794110303485303
skewness,1.1901462363091768,1.2403153349744653,1.4684488463451577,0.8966048527956498,0.8072883170054357,0.9447906041449926,0.8562189130048055,0.9138834643774864,2.3678608199307676,0.8755842063824427,1.1367570667640474,1.645475491249194,1.3288023399786393,2.1036687992130965,1.0570787090951663,1.2078134743552371,2.5658225274448094,3.519030260079327,,3.5825786879223283,8.519209189148482,5.648303625077795,3.951497489479992,4.806268835693237,4.884477545281928,4.668230950350653,2.949182509949462,3.9841417286335266,4.695896149770334,4.642734735040604,4.690791346104636
kurtosis,1.0188715578750505,1.6151870429992141,2.915662806366567,0.13015321646748657,0.3247993325206595,0.684673159239682,0.3962863967979322,0.12269519324555045,9.003871602034595,0.6674384875694273,1.1378435648849297,3.096184475176942,1.9987749810704254,6.935280936876094,0.9133152563621385,1.7679093472653622,9.320127507272677,18.02682486650147,,14.231880439932613,94.90013646009507,40.63069724071317,17.94744981995857,22.992052233102914,26.822167879504033,20.531369390467855,12.330497726981957,16.11947296255987,30.386075867861273,28.949501249940496,20.867088342379112
confidence_interval_low,0.10313414002087626,0.06067059192600372,0.08063695611205289,0.04121105681893926,0.03480110855565376,0.05330923492722532,0.05564716007664044,0.08940836116547643,0.3018220186872691,0.0717233167731064,0.047245356048364405,0.31987708548653276,0.11306508146683947,0.19278652348217953,0.12082058262766997,0.0974578467193593,0.24538308999782668,0.5098393167699329,,0.36888936098275993,3.5830062282107917,1.5234149424595387,1.639056892041196,0.8020721805969169,1.3264394827950152,0.38887394740073894,1.0018072443154984,0.2849282303880075,0.709716565227322,1.2104830865851874,0.4846123648114135
confidence_interval_high,0.10670833604622842,0.06282626969605448,0.08331953453980263,0.042559052053394456,0.03585707812003442,0.05488317697684296,0.057327134983436175,0.09246324992517249,0.3152845618395548,0.07384583570473019,0.048850573318882186,0.3331553042598802,0.11701703354439766,0.20067384990840118,0.12484354580498448,0.1005691426747168,0.2564040502157451,0.5360023596220067,,0.3968120375274937,4.162605460871866,1.6938985837838425,1.7922320043767535,0.9035893976969256,1.4760683473226712,0.4432938438914596,1.0546107917215064,0.306438125680521,0.7706523939606348,1.3355738531539458,0.5566506168445549
