,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
95%,0.2844241673404311,0.15917656946986428,0.24097276712811277,0.09665899158882088,0.07470585825859036,0.1192564678831732,0.13126251765356783,0.23219338971816203,0.6271671307411519,0.17889861269231713,0.13203601303898613,1.0069915347537581,0.34894470011634543,0.4950795490550598,0.2994751980233799,0.22384062630117937,0.6205521011432898,1.9194104440458242,36.421661615616244,1.5798925486280533,10.115767059009102,10.357112196013004,10.90141667462427,1.201412727605316,15.674548421554647,0.4377393668390958,2.7475970567196577,0.5592886140792148,3.2759842403745627,4.807374201666085,0.4325779025964622
99%,0.3239935930981396,0.1982723034105111,0.28512086527662606,0.11449078909284009,0.08099670552532712,0.14545436447182805,0.16093120668141983,0.24806030675874138,0.7183688318841888,0.26353521596777796,0.15517873871082336,1.1603994864101912,0.4147903671338669,0.5273666733463944,0.3443557395111004,0.31716871449576967,0.8023578724930887,2.964192392464282,,3.7519431874893456,33.16998103702242,22.482197634333065,16.924415067907645,13.140144106464097,20.677963649880514,7.50964152572491,4.491121946570207,2.8777044182678977,8.36707989930271,13.85187388894418,9.497259137430294
max,0.3399976315273755,0.2142743474720355,0.3763161394282344,0.1397932361384865,0.0969426746370906,0.1560252822375624,0.1829855281062447,0.2644813564519777,1.102060573272604,0.3818670361728318,0.1853180366806959,1.2216339243123462,0.4795910844826785,0.6821415610319921,0.5865356175352402,0.4631063764427279,1.179243860200805,3.314613605802287,inf,3.978246040299225,47.82440962838641,24.72965073957074,18.573349264637397,13.73331473451802,25.476536498665173,8.069628755789688,5.146546196560267,3.2890123520182786,9.729815395312569,16.11285153872645,9.707881276915868
range,0.33998843152053376,0.21426070753868778,0.37629100522326697,0.13978857022723212,0.09693937586659668,0.15600029362736048,0.18298210676300966,0.2644723654481979,1.1018055216529403,0.38186364220302815,0.18531003790348283,1.2216053357993522,0.47953536358975724,0.6819231082286759,0.5864978726525686,0.46308622571925445,1.1791685531088674,3.314545766292323,inf,3.978214263880273,47.82439628071574,24.72957543741026,18.57325051090441,13.733150510982364,25.476493172994896,8.069606515956437,5.146126789957586,3.2889996607504037,9.729776945487169,16.11282240356689,9.707798733495244
coef_of_variation,0.7700346594621098,0.8561691268264517,0.7118688799426337,0.7263703329488477,0.5587224595772295,0.5838519436243921,0.6501654062264239,0.779259940763077,0.491284357880562,0.7361501142511817,0.7795085761897379,0.8877742585363946,0.7528181434978563,0.6080235226632129,0.7168551288558664,0.6760915635270613,0.7482423368523261,0.9641395502951138,,1.8591293503077109,2.4370014669392823,2.4246517072106806,2.1693235032244744,2.830994417819825,2.5541070055331647,3.2752132558000255,0.7264346784434736,1.8528340092731417,2.0350375001570966,2.294604296736039,3.439821833221668
iqr,0.1050177518773647,0.08411625736737159,0.055235866584329905,0.051452834482701805,0.03251168479115921,0.03802091969349441,0.0572910133261353,0.11019853720430951,0.2468473826805105,0.078117885850114,0.0489842572318598,0.38020470518652727,0.1141914154288621,0.1900537951922434,0.1370630740189852,0.11229766402699368,0.3412596065921363,0.46249641481744835,2.706496448632443,0.2036631735568312,1.120757764705604,1.0278007826376996,0.5573764436052083,0.43736698037672533,0.9556528472698096,0.1479453104075959,0.9825148182536582,0.228190741500636,0.3397706517711033,0.455693689639324,0.15166199025024982
skewness,0.8940370875766286,0.8774709419027731,1.3486765455856489,0.44128475597216,0.3467402760681233,0.8358856614897997,0.5831933989607107,0.670154546718036,0.031179493824001564,1.0892103028007543,1.0092846874834125,1.027107517449001,1.1987827140259446,0.48939919637070567,0.6647603941288668,0.724725105735211,0.7716203649842288,2.246994648599091,,3.2794897058868577,4.535307742275021,3.9647725889218686,3.1138284151690026,4.366363953064519,3.7700175290571734,4.409811798265009,1.7505103727778955,4.08137258835377,3.657712035698876,3.4035239378121163,4.423984158208994
kurtosis,0.0058495358521697405,-0.30014683476780846,2.4872841983040828,-0.7632447570503564,-0.8571928310597645,0.283454066147498,-0.23906498665522236,-0.612937886998596,-0.39110374528851466,1.6737800710971773,0.5453690609070865,0.18062766682005682,0.9727881411284569,-0.4667764010971447,-0.38755127671170087,0.32853151674663383,0.1368630217090936,5.73635383071001,,10.350784281437178,21.148636702011885,14.81208141617169,8.881232308260396,17.363743309054815,12.993432181376551,17.572935974504848,4.0937499645449495,15.859051555352195,12.912078253375386,11.222415073253767,17.689991530085052
confidence_interval_low,0.1075751342498827,0.06109499643843504,0.0845643313217327,0.041513287937807175,0.037461589625895055,0.05426011783309679,0.058760709468203685,0.08987342489524491,0.35083874828141637,0.07530198594292813,0.04763649250335398,0.34402654268442723,0.1275787444959062,0.2179466291143304,0.12839978864555204,0.10587692727253335,0.26866294947236796,0.5890500564792625,,0.41036699522044257,2.2023318829619183,1.699550347688235,1.580127071720957,0.8533209812508598,1.5727621066364543,0.42511392113686397,1.1556065503401995,0.281635521109011,0.7708179349046033,1.2123534863213434,0.5007601370816295
confidence_interval_high,0.11098711977958912,0.06325334360663777,0.08704091100030951,0.04275419676912387,0.03831997326975584,0.055560007258517015,0.06033043994863584,0.09275865977664538,0.35789768751611106,0.07758366660427611,0.04916627761320109,0.3566370880824947,0.13153331617679945,0.2233867544735825,0.13218687606733018,0.10881967088908633,0.2769393251617777,0.6125364695445032,,0.44251240593542246,2.4312578818783064,1.8752721254869593,1.7255057373508074,0.9572346385232597,1.7445310681056378,0.4855832751351775,1.190152869721561,0.30361934800567203,0.8371576517704981,1.3306513023454332,0.57583789168728
