,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
95%,0.29137381613810776,0.17263961333876116,0.21312529795802446,0.10512500760594068,0.0963525792609836,0.13440066218171684,0.13802117842855852,0.2539906579028878,0.7363114204653292,0.18595646496633297,0.12999452517845747,1.122303043457276,0.34302431259402627,0.5241790680343009,0.3123645248287396,0.2466808104918473,0.5852262423588679,2.2359652575992404,39.348071575164816,1.6089356495783877,14.397341052691152,11.69916504621506,13.813587188720705,1.7318814221550438,12.691702485084567,0.5078425277126297,2.851658055480098,0.711219282813998,3.178455897739964,5.883181234200796,0.46797688212029626
99%,0.33082095748143836,0.20013660172125863,0.27086554257321704,0.12520846644713327,0.12264052011880547,0.1544943935466262,0.1854922716988303,0.29159602668190693,0.9713833524406723,0.24536860529420135,0.1684531502313198,1.319182913182146,0.38746527424008853,0.6645987114020158,0.35330679749651933,0.3149587649085734,0.6203390194819525,3.459713731493273,,4.04721395969391,33.644826173782356,16.935534775257125,17.609531819820408,13.118681127374824,18.389709313710533,7.143944217312724,4.032131229077017,2.9094277047491697,8.982010705130476,15.246813297271743,9.28816883503891
max,0.4845963065505873,0.2217515060037168,0.3560283122376346,0.209382556733631,0.2716835503900602,0.1853141604729418,0.3991717935911063,0.3367339988159977,1.8470884948854496,0.4501700642989817,0.2978740220659234,1.4164350593791286,0.4776030863363911,1.115730495020474,0.6017378830328222,0.7096092728314805,0.7862692246070274,4.354377627372741,inf,4.562817454338074,52.21968984603882,22.37026000022888,24.985691368579865,14.927752321416682,26.03165014584859,7.521519937822895,6.299754426286027,3.09524290902274,12.722498280661446,16.64021913210551,9.874216095740056
range,0.4845918071640689,0.2217410898021365,0.356024181557042,0.2093823572723361,0.27167782834416176,0.1853118869344472,0.39915566252022144,0.3367139315120656,1.8470689229665271,0.45015858428359135,0.29786700473449895,1.416426820692673,0.47756604942013,1.115722035255716,0.6017301892552147,0.7095928711454279,0.7862206950986007,4.354257307554545,inf,4.562776828324923,52.21965780129304,22.370020701335022,24.98536216435225,14.927683168939506,26.03152050307734,7.521478348573235,6.299452469155595,3.095161138674914,12.72244043788956,16.640188244351172,9.874197461112706
coef_of_variation,0.7723841978589698,0.7550432780787985,0.6727341903008104,0.7358786785290276,0.6958167274066659,0.7364309324104339,0.717020229294908,0.8338329506531497,0.6735062514988461,0.7190770303229825,0.7852446000702477,0.8887641909925236,0.7667922098568768,0.7316878160203367,0.7320218198170403,0.7160480625613389,0.6977628602067689,1.0090112409824323,,1.8822800661159704,2.302159529830307,2.1214331092025374,2.1333419113036096,2.7019611561838097,2.3866211180941703,3.161620532529737,0.8432211436143641,1.781465414963516,2.1487212323282505,2.0876781351573452,3.358108171970603
iqr,0.10131631559177119,0.07101094471219349,0.0595986418992884,0.0488808664614402,0.040025145789026606,0.0634546567413551,0.06409618016659721,0.109116092329202,0.3216799932434626,0.0820428975689386,0.05370929987163031,0.3761556413438585,0.13217461605418962,0.2031552801077699,0.164899568357077,0.09666863008435242,0.3344067949989409,0.5435751108896163,1.9556980473654613,0.2270277349658431,1.4507274961605128,1.1082790182984392,0.6905232245723408,0.407528581782284,0.6491560418196397,0.14581363088583232,0.9311679973830802,0.2019976340807402,0.4006754430857571,0.44381705990859444,0.1443336776068977
skewness,0.92643648453006,0.8157578681668061,1.153165703332313,0.7326810507684852,1.10225404094271,0.7224575290578437,0.8447852797709525,0.9206379631620178,0.8356046609698742,0.9893151095309705,1.0821441599879835,1.0714911798068467,0.9617904073486228,1.030026648029602,0.610747204514672,1.149736460406004,0.4741712819816009,2.427376620080228,,3.499455411443979,4.1102618998554945,3.75804550803619,3.004935241751716,4.426280057319053,3.7028247556191656,4.4022603042876565,1.6949680706081844,4.007625143988803,4.347596752041975,3.8055468162524018,4.441792401280251
kurtosis,0.15432672475337572,-0.0184796730093022,1.940686013127093,-0.20948303748295682,2.6278164342194956,-0.3572806763480396,0.8381516343554418,-0.21256901826245045,0.884346270163511,1.5297946167371888,1.3421310162793456,0.09702863872514111,0.4037871942682454,0.7788109357777571,-0.5108997812061533,3.102043906263311,-0.9417195079899132,6.85668332702639,,12.081594057266813,17.888879238936575,13.666337651155235,8.41277658196029,18.44307539497719,13.153169088464953,17.539847922611678,3.4270901322027165,15.50233078040931,20.378994800078935,16.941862894384307,17.92101337476855
confidence_interval_low,0.11102413996316617,0.06579227303813746,0.08484078839087231,0.04343360982076895,0.041635553498737946,0.055035938600031586,0.05978942949638418,0.09323284226541877,0.33102384629401616,0.07793599059450536,0.04964004116501974,0.3859493616323866,0.12534397326487928,0.2105115865353214,0.13220947154783566,0.10506551442494234,0.2599245758934395,0.646117872830097,,0.408981049014834,2.4470934066043233,1.472265444255102,1.83992935226973,0.8216485960136776,1.471560873321252,0.4148620048328623,1.0158646115056886,0.29071444451261286,0.7314033086024233,1.1205497479103452,0.4969698142216088
confidence_interval_high,0.11455643379854107,0.06783776455416145,0.08718698178039627,0.044749173173585066,0.04282701745331731,0.05670419560457257,0.06155330089442639,0.09643914100993196,0.340188655208292,0.08024190377983466,0.05124608784326989,0.4001126833939177,0.1293025326080709,0.21685092578203388,0.13619266818596829,0.10816082890647231,0.26738381063474886,0.6731036848369897,,0.4414326585043644,2.6866981392741316,1.604595647339649,2.006276250848407,0.9168805797506027,1.6212023184341189,0.471686277065803,1.0512006138537566,0.3125001163888196,0.7980274526630958,1.2195936542103354,0.5695800043937029
