,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
95%,-22.319293189449628,-52.66517249994214,0.021935,0.02611,0.05507000000000001,0.03582000000000002,0.091905,0.47798999999999997,0.63951,0.6393599999999999,0.6648149999999999,0.6659299999999999,0.270405,0.13031500000000001,51.683610183265635,5.7236235741650745,19.0859047721981,7.940419043107724,2.855981736518784,1.9642689203280903,34.53050144853952,11.310129226905296,225.09613869409688,98.13605152808893,43.89749713582837,1.9069472918523713,2.1599111811870597,197.82225984912418,5.4347399135386585,1302.9128542249646,30.164416964557947,0.5325956834596195,0.062071040774358655,2.4391986540961605,0.4497742850466262,-0.16102940735277863,0.07268986776286696,-0.6571038298106362,-0.16730041454780264,-1.7835757880132854,6.573494348136395,1.6901237010487564,0.8597310589384571,0.7275414103216197,17.775840930465016
99%,-22.319293189449628,-52.66517249994214,0.022466999999999997,0.029301999999999995,0.05917399999999999,0.05284399999999997,0.09806099999999998,0.479358,0.6411819999999999,0.640272,0.666563,0.669426,0.272001,0.14422299999999996,52.59777040387277,5.921085341922622,19.495067778407343,8.119975545697628,2.87977651859112,1.9703877648786488,34.95750504096013,11.68368541684565,271.7869245078408,98.5936276538973,44.655069555760306,2.0595536328903004,2.2637230514645026,236.64802404964473,5.93612845978643,1309.1206951501927,31.682885163743318,0.6471939491590669,0.11214457214163476,2.651411304167271,2.0472456813051476,-0.1279824680930409,0.9380625246812347,-0.11747456453953303,-0.09311099794281498,-0.7414977797860769,8.504866678780433,1.690464282121397,0.8682334644177163,1.6866689191102857,20.56130154591628
max,-22.319293189449628,-52.66517249994214,0.0226,0.0301,0.0602,0.0571,0.0996,0.4797,0.6416,0.6405,0.667,0.6703,0.2724,0.1477,52.82631045902456,5.97045078386201,19.597358529959653,8.164864671345104,2.885725214109204,1.9719174760162883,35.06425593906528,11.77707446433074,283.4596209612769,98.7080216853494,44.84446266074329,2.097705218149783,2.2896760190338634,246.35446509977496,6.061475596348375,1310.6726553814997,32.062502213539666,0.6758435155839291,0.1246629549834539,2.704464466685049,2.4466135303697816,-0.1197207332781064,1.1544056889108287,0.017432751778244,-0.0745636437915679,-0.4809782777292724,8.987709761441447,1.6905494273895574,0.8703590657875311,1.9264507963074544,21.2576666997791
range,0.007219214204148727,0.007189713515245444,0.003799999999999998,0.0139,0.0225,0.0432,0.037599999999999995,0.1033,0.1382,0.16759999999999997,0.14680000000000004,0.09299999999999997,0.06289999999999998,0.05639999999999999,15.23309651579767,1.6008701679073312,6.060226291447043,0.9251084630063175,0.3892268854895313,0.3642854817832668,7.907229988442598,4.092471231191451,187.92221690548402,26.887003493359117,9.238603920527076,1.50496963209142,1.0013324029349304,155.87138654865635,2.7533326596703787,379.2291730614087,20.58552026690367,0.5984570484527353,1.1839461420089283,2.2267173857893803,3.577124639690264,1.1127245271501693,2.0637602010113874,2.994870687914038,1.3075422715090814,2.892862200097501,10.430447501807583,1.9389695350149707,3.2406351062365735,2.1440852910340142,19.56755229916576
coef_of_variation,-0.0001077923542343093,-4.565213553468482e-05,0.03791119699630646,0.11536513072663346,0.08148709749528302,0.4368458428262235,0.08709771803471694,0.056944709739111476,0.06463690599471555,0.07777630836738685,0.06308817390791989,0.03718574528607688,0.05600303244575085,0.08680993912194071,0.09918717130092376,0.07679086656562657,0.09786883136723368,0.031790878723268794,0.043833603146572836,0.05796745207647604,0.07263266602873296,0.12352968572682002,0.38919194307930044,0.09304766177789466,0.06267332658965355,0.3420550370239352,0.14598834403579206,0.3432230182370864,0.15807365348323382,0.10685136115704398,0.33273592434026084,0.6516699483290678,-1.051777260497918,0.30326762362110316,-3.3470646785486964,-0.6633289641337003,-1.4728615951234385,-0.5198439351628742,-0.5194372327007389,-0.24169543697025206,1.2865823179036848,0.3414260991570926,1.5726149375499006,0.8252620608623831,0.29826726806860243
iqr,0.003568117366754109,0.0035948567576156165,0.0007500000000000007,0.0017000000000000001,0.0014999999999999944,0.002024999999999999,0.0034249999999999975,0.01655000000000001,0.02310000000000001,0.025500000000000078,0.0192500000000001,0.026675000000000004,0.011575000000000002,0.005474999999999994,6.540954105053153,0.3417047940858504,2.7167758207866264,0.4130835738503702,0.162199812844392,0.15259692883683873,3.3265450254293363,0.8146947872681523,8.177864576573654,11.059577011624683,3.247293746230554,0.5957363784115868,0.339388508703377,21.50125548699495,1.0286456759109281,187.20099832296557,3.547770320266448,0.05787477873309452,0.38217993791153243,0.37417740293498114,0.691487785240396,0.33302806759608167,0.16557203133884324,0.48804556463294846,0.46362431226240614,0.5303721616823984,0.3194087068222189,0.31259597483199353,0.2817635470458145,0.10750485052466441,2.0306170150590663
skewness,0.011517118569691159,0.0,-0.5744123261391972,0.8508909847083606,-0.15207567614375672,3.4724187317624837,0.12454097600403205,-1.8824086523118508,-1.71371317257688,-1.963267796751812,-1.781670767928468,-1.044269979165238,-1.785016863816088,0.2506591175056343,-0.4469065129998827,-0.050049857167798945,-0.29236939665959183,-0.04118646748424755,0.20156141582654144,-0.058883317639532425,0.2054518537013747,1.4556397367214162,2.3408224176370287,-0.09952830983492915,-0.23549487808153813,0.28216407371178565,-0.004933661583719977,2.276272475955254,0.3747686522004034,0.32617766662806,1.9408683254301171,2.02101002691118,-0.8716178214409785,-1.1213571397638595,2.5566653866449194,-1.2688804003275127,2.2968078193948607,-0.8693985161824094,-0.14559876959455978,2.0226792309293704,2.029458945276822,-2.2669361679203464,-3.6789546515534273,2.202404049986138,-0.24429218182985443
kurtosis,-1.125939856294392,-1.1479408372307707,2.286470694611581,4.9622568287870426,5.639484260264309,12.789858000955348,4.357914097133348,3.6623343144326634,2.0952298832070566,2.9395421387786778,2.5758000373919554,0.9787295245798786,4.385390940729883,4.857681354944589,-0.8902132604259618,0.10235475087002133,-0.7869433481935038,-0.5998575209982779,-0.8701279531809236,-0.9459220233621592,-0.5871724578998783,1.4903386417243043,5.18719267646293,-0.7944507000973728,-0.6038563081012054,-0.5019220970796607,-0.4196378327369512,5.125006495786614,-0.21326831626125653,-1.1075245872402109,3.4534547731992173,3.646146817537163,0.35847787270535525,0.7866970421525048,8.840788958955345,1.036192528041095,8.57839201852529,1.3552328004577916,-0.2736832688432074,6.167494215985185,4.389645339922014,7.996749954300048,14.874183217299581,9.094878330494309,4.849762879175206
confidence_interval_low,-22.32403727605972,-52.669892670057486,0.020543905440303715,0.02116218680909515,0.047506406874437926,0.0169213453557129,0.07747277737056926,0.44321449240949196,0.5897092137039674,0.5807325511679831,0.6129997920263773,0.6274321047561572,0.24720140308186378,0.11376229593348346,43.97533462773458,4.9792313681770075,16.13250219006024,7.556928441099304,2.61089269144234,1.7519796520588833,29.738178316849513,8.454523963392564,103.34068379818203,82.21950116228118,39.35597756983698,1.0316950822476199,1.6629438566256045,98.68195099123714,4.126680080343727,1053.2945042286485,14.068174413999028,0.1600275420875616,-0.44198792943512194,1.5989137754386205,-0.5688751612051857,-0.6253160588424753,-0.4610840100964797,-1.6253949047915948,-0.8012982751122824,-2.8349650292787842,0.7223753736798035,1.0331651458244964,0.11856111812580877,0.29949345070942374,10.426040430756814
confidence_interval_high,-22.32178496689115,-52.66764204334205,0.021286094559696277,0.02357781319090485,0.05127359312556208,0.0256186546442871,0.08405722262943074,0.467485507590508,0.6265007862960323,0.6246074488320168,0.6503002079736225,0.6496578952438427,0.2605085969181363,0.12339770406651653,48.25684704843208,5.350473008550795,17.68131086144317,7.785197632950322,2.7202599974247685,1.8496915610370488,31.831111438601994,9.492083235187398,149.3715735823404,89.70647264133964,41.73452581605845,1.4249753001947272,1.9068486754485083,136.45235444999534,4.7860505512174285,1164.1862282951386,19.25788131111526,0.3004773566968852,-0.15039115528181296,2.12786962231905,0.1255626220062448,-0.3290389281338062,-0.0847970409639631,-0.9892631173945581,-0.4878910532289403,-2.258776537183298,2.908920391922771,1.426143871617199,0.7796511038390108,0.6764280277155821,13.809106462014377
