,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
95%,-22.319293189449628,-52.66517249994214,0.021935,0.02611,0.05507000000000001,0.03582000000000002,0.091905,0.47798999999999997,0.63951,0.6393599999999999,0.6648149999999999,0.6659299999999999,0.270405,0.13031500000000001,53.28,5.99,19.6,8.55,2.81,1.97,31.38,10.84,189.65,98.67,43.84,2.1,1.86,147.46,6.07,1404.29,32.16,0.31,-0.17,2.73,0.13,-0.11,0.05,-0.68,-0.55,-2.05,4.06,1.85,0.85,0.5,13.44
99%,-22.319293189449628,-52.66517249994214,0.022466999999999997,0.029301999999999995,0.05917399999999999,0.05284399999999997,0.09806099999999998,0.479358,0.6411819999999999,0.640272,0.666563,0.669426,0.272001,0.14422299999999996,53.28,5.99,19.6,8.55,2.81,1.97,31.38,10.84,189.65,98.67,43.84,2.1,1.86,147.46,6.07,1404.29,32.16,0.31,-0.17,2.73,0.13,-0.11,0.05,-0.68,-0.55,-2.05,4.06,1.85,0.85,0.5,13.44
max,-22.319293189449628,-52.66517249994214,0.0226,0.0301,0.0602,0.0571,0.0996,0.4797,0.6416,0.6405,0.667,0.6703,0.2724,0.1477,53.28,5.99,19.6,8.55,2.81,1.97,31.38,10.84,189.65,98.67,43.84,2.1,1.86,147.46,6.07,1404.29,32.16,0.31,-0.17,2.73,0.13,-0.11,0.05,-0.68,-0.55,-2.05,4.06,1.85,0.85,0.5,13.44
range,0.007219214204148727,0.007189713515245444,0.003799999999999998,0.0139,0.0225,0.0432,0.037599999999999995,0.1033,0.1382,0.16759999999999997,0.14680000000000004,0.09299999999999997,0.06289999999999998,0.05639999999999999,18.03,1.3600000000000003,4.220000000000001,1.580000000000001,0.2200000000000002,0.28,3.009999999999998,3.1899999999999995,96.63000000000001,26.370000000000005,4.300000000000004,1.42,0.32000000000000006,57.06,2.2300000000000004,465.65999999999997,18.83,0.24,0.92,1.65,0.81,0.49,0.6900000000000001,1.63,0.51,1.3800000000000003,3.2199999999999998,0.9400000000000001,0.44,0.38,2.799999999999999
coef_of_variation,-0.0001077923542343093,-4.565213553468482e-05,0.03791119699630646,0.11536513072663346,0.08148709749528302,0.4368458428262235,0.08709771803471694,0.056944709739111476,0.06463690599471555,0.07777630836738685,0.06308817390791989,0.03718574528607688,0.05600303244575085,0.08680993912194071,0.14828676931239224,0.0872423792462948,0.08315991603837714,0.062356888389937325,0.02674809994020726,0.05128433420638314,0.03557695833987429,0.11895537442801522,0.3463084113002648,0.09074701088230658,0.03665619959037298,0.4713455793032524,0.08163626790741892,0.18196098017783333,0.13107129340183007,0.14313257416189173,0.3587708171643108,0.45783304218422644,-0.9141060206688002,0.2919713080405261,-2.0442652297713493,-0.6126039769113969,-0.7403209345327196,-0.37980418694411955,-0.23542009400177868,-0.1716431013360347,0.8113503629863132,0.2423720590759212,0.2695237289172653,0.41296849215719617,0.08089934087158235
iqr,0.003568117366754109,0.0035948567576156165,0.0007500000000000007,0.0017000000000000001,0.0014999999999999944,0.002024999999999999,0.0034249999999999975,0.01655000000000001,0.02310000000000001,0.025500000000000078,0.0192500000000001,0.026675000000000004,0.011575000000000002,0.005474999999999994,7.064999999999998,0.5075000000000003,2.2624999999999993,0.1399999999999988,0.08499999999999996,0.08000000000000007,1.1500000000000021,0.9474999999999998,25.89,6.570000000000007,1.3300000000000054,0.71,0.29000000000000004,14.5775,0.3099999999999996,217.85750000000007,3.7125000000000004,0.07999999999999999,0.335,0.4650000000000001,0.39,0.31000000000000005,0.24000000000000002,0.38249999999999984,0.265,0.37500000000000044,0.8274999999999998,0.52,0.27249999999999996,0.125,0.8275000000000006
skewness,0.011517118569691159,0.0,-0.5744123261391972,0.8508909847083606,-0.15207567614375672,3.4724187317624837,0.12454097600403205,-1.8824086523118508,-1.71371317257688,-1.963267796751812,-1.781670767928468,-1.044269979165238,-1.785016863816088,0.2506591175056343,-0.38170826695040433,0.43575563627601155,-0.561639784426039,-1.4056441805333224,-0.5637151277924651,1.2214669887388918,-0.41201085119190545,0.5455190658484609,1.2401423939400715,-0.657781255887688,-0.8791321516046452,0.9220029211066223,0.12184724483549092,0.9401908604886964,0.343892297381318,-0.41437837532661476,1.8318016097603174,0.5875134909238301,-1.186721217204819,-0.18254667851110837,-1.095724781842339,-0.5206027431424992,-0.11911199155416108,-0.5632311794627527,-0.30878085434167385,-0.7854023228297399,1.2450568608238557,0.05403521966717183,-0.640352613864304,-1.2155789000717026,-0.02843464838824204
kurtosis,-1.125939856294392,-1.1479408372307707,2.286470694611581,4.9622568287870426,5.639484260264309,12.789858000955348,4.357914097133348,3.6623343144326634,2.0952298832070566,2.9395421387786778,2.5758000373919554,0.9787295245798786,4.385390940729883,4.857681354944589,-1.0295227842401014,-0.5381083076280757,-0.9114477896712505,1.3612694072741638,-0.3902562980297204,0.6424535234124642,-0.8635628557458399,-0.6992799894667017,-0.5062260653227972,0.24406430919985223,-0.37950840278909403,-0.6158086751824166,-1.8913060126821108,-0.6535599514008399,0.5380466111465898,-1.1363539859434462,2.04605691650295,-0.7940393332525271,-0.5704879304675501,-0.615553585680368,-0.19864305121058123,-1.4321872323111577,-0.8020207169642246,-0.6390131195979465,-1.364734436944528,0.20850977363014112,-0.5016183561205874,-1.326904731707645,-1.3690052784536593,-0.5300958585831879,-0.8371407087391383
confidence_interval_low,-22.32403727605972,-52.669892670057486,0.020543905440303715,0.02116218680909515,0.047506406874437926,0.0169213453557129,0.07747277737056926,0.44321449240949196,0.5897092137039674,0.5807325511679831,0.6129997920263773,0.6274321047561572,0.24720140308186378,0.11376229593348346,41.94677947979109,4.976170378528452,17.18170700737862,7.806817490384529,2.687924653571223,1.739716778608531,29.570301941248317,8.656175013398794,100.3341179223056,83.7100657721087,41.52517465392506,0.8721524924233053,1.6384144615829188,104.16226913619379,4.5862768630074005,1109.0731035470226,14.832421880828834,0.14300241237513647,-0.615388173053983,1.6153338775682629,-0.2700308897745291,-0.3885856609606482,-0.42212175046759914,-1.715398455009455,-0.8842583664584122,-2.7829338002279185,1.0631536492768077,1.1977511856470346,0.6003411412403628,0.31623612013898655,11.642350179298418
confidence_interval_high,-22.32178496689115,-52.66764204334205,0.021286094559696277,0.02357781319090485,0.05127359312556208,0.0256186546442871,0.08405722262943074,0.467485507590508,0.6265007862960323,0.6246074488320168,0.6503002079736225,0.6496578952438427,0.2605085969181363,0.12339770406651653,48.203220520208916,5.3998296214715475,18.573292992621376,8.276182509615474,2.756075346428777,1.825283221391469,30.57169805875168,9.676824986601211,139.1488820776944,91.13593422789127,42.97482534607495,1.3658475075766952,1.7685855384170812,123.55473086380623,5.1857231369926,1268.3308964529774,20.818578119171157,0.22099758762486352,-0.24661182694601697,2.1266661224317365,-0.005969110225470919,-0.21541433903935164,-0.20487824953240086,-1.1976015449905448,-0.7087416335415883,-2.3690661997720808,2.3648463507231923,1.5042488143529658,0.7736588587596374,0.4677638798610135,12.558649820701582
