,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
4808,-22.32294433296796,-52.66696992832095,0.0217,0.0224,0.0485,0.0187,0.0784,0.4751,0.6416,0.6393,0.6614,0.6577,0.2656,0.1208,50.126666666666665,5.03,16.786666666666665,7.703333333333333,2.6333333333333333,1.846666666666667,33.129999999999995,9.583333333333334,126.91,82.33333333333333,40.32999999999999,1.2733333333333334,1.7633333333333334,110.26666666666668,3.9266666666666654,971.05,12.196666666666664,0.18,-0.1133333333333333,1.74,-0.4766666666666667,-0.5,-0.5166666666666667,-1.346666666666667,-0.4433333333333333,-2.2966666666666664,1.93,1.1266666666666667,0.5166666666666666,0.38,11.426666666666668
4828,-22.32294433296796,-52.66517249994214,0.0207,0.0228,0.0489,0.0178,0.0804,0.4761,0.6378,0.636,0.6647,0.6657,0.2653,0.1226,45.4,5.406666666666666,16.606666666666666,7.303333333333334,2.6166666666666667,1.8866666666666667,31.71666666666667,8.613333333333332,93.21999999999998,77.42,38.156666666666666,1.2933333333333332,1.663333333333333,91.84333333333332,3.6,1009.66,19.38,0.14,-0.25,2.21,-0.3333333333333333,-0.4566666666666667,-0.2666666666666666,-0.8433333333333333,-0.3833333333333333,-2.6333333333333333,0.8233333333333334,1.0766666666666669,0.5266666666666667,0.53,10.713333333333331
6969,-22.324686890516045,-52.67236221345738,0.0208,0.0227,0.049,0.0208,0.0828,0.4642,0.6206,0.6115,0.6441,0.6499,0.2582,0.1198,46.77333333333333,5.263333333333333,15.53,7.69,2.6566666666666667,1.8266666666666669,30.91,8.24,90.0,89.38,41.6,1.6233333333333333,1.67,94.88666666666666,4.653333333333333,1222.4133333333332,16.536666666666665,0.1733333333333333,-0.16,2.1700000000000004,-0.6033333333333334,-0.3,-0.2033333333333333,-1.0166666666666668,-0.4966666666666667,-2.9133333333333336,0.71,1.54,0.7633333333333333,0.5133333333333333,11.410000000000002
6989,-22.324686890516045,-52.67056478507857,0.0215,0.0215,0.0493,0.0184,0.0783,0.4589,0.6111,0.6126,0.6383,0.634,0.2507,0.1158,46.1,5.066666666666667,15.410000000000002,7.713333333333334,2.603333333333333,1.8533333333333333,28.60333333333333,8.326666666666666,96.29,94.29,41.87,1.43,1.8333333333333333,100.25666666666666,4.3,1261.96,15.673333333333334,0.1366666666666667,-0.1933333333333333,2.036666666666666,-0.6433333333333334,-0.2966666666666667,-0.2933333333333333,-1.0166666666666666,-0.7933333333333333,-2.8266666666666667,0.9733333333333332,1.74,0.7833333333333333,0.5333333333333333,12.216666666666669
7009,-22.324686890516045,-52.66876735669975,0.0226,0.0259,0.0548,0.0347,0.0915,0.4108,0.5255,0.5027,0.5509,0.5773,0.2454,0.126,48.26,4.95,15.856666666666667,7.859999999999999,2.646666666666667,1.8666666666666665,29.606666666666666,9.0,128.50000000000003,93.89666666666666,42.73,1.6900000000000002,1.7966666666666666,114.79333333333334,4.293333333333333,1186.0966666666666,14.913333333333332,0.1933333333333333,-0.1866666666666666,1.79,-0.6966666666666667,-0.4133333333333334,-0.43,-1.3266666666666669,-0.8533333333333334,-2.6666666666666665,2.0466666666666664,1.62,0.7133333333333334,0.4066666666666667,13.15
7029,-22.324686890516045,-52.66696992832095,0.0205,0.0224,0.0483,0.0177,0.0728,0.4309,0.576,0.603,0.5988,0.6009,0.2293,0.1083,48.14333333333334,4.98,16.233333333333334,8.016666666666667,2.646666666666667,1.8733333333333333,32.24333333333333,9.383333333333333,128.08,89.27333333333333,41.71666666666666,1.4400000000000002,1.95,111.88,3.96,1072.6266666666668,13.42,0.19,-0.24,1.74,-0.65,-0.36,-0.4966666666666666,-1.33,-0.5533333333333333,-2.453333333333333,1.9733333333333332,1.39,0.6066666666666666,0.3766666666666666,12.17
7049,-22.324686890516045,-52.66517249994214,0.0188,0.0162,0.0377,0.0139,0.062,0.3764,0.5034,0.4729,0.5202,0.6288,0.2095,0.0913,47.64666666666667,5.236666666666667,17.95,7.63,2.723333333333333,1.83,30.48333333333333,9.186666666666666,124.38333333333333,78.32666666666667,39.06666666666666,1.393333333333333,1.46,110.34333333333332,4.086666666666667,989.9833333333336,19.536666666666665,0.1966666666666666,-0.23,1.913333333333333,-0.1233333333333333,-0.48,-0.2833333333333334,-1.3133333333333332,-0.7266666666666667,-2.54,1.8866666666666667,1.0166666666666666,0.48,0.4000000000000001,11.773333333333332
8866,-22.326512403653776,-52.67056478507857,0.0206,0.0222,0.049,0.0204,0.0808,0.4499,0.6014,0.596,0.6239,0.6297,0.2486,0.1167,45.02333333333333,5.28,16.536666666666665,7.443333333333332,2.536666666666666,1.7599999999999998,28.953333333333333,8.003333333333332,95.25,90.93,39.41333333333333,1.4766666666666666,1.9,104.52333333333333,4.44,1191.53,19.883333333333336,0.1466666666666667,-0.24,2.2033333333333336,-0.26,-0.3666666666666667,-0.3499999999999999,-1.1533333333333335,-0.6966666666666668,-3.03,1.0066666666666668,1.67,0.6666666666666666,0.5533333333333333,12.43
8886,-22.326512403653776,-52.66876735669975,0.0205,0.0232,0.0502,0.0194,0.0803,0.4661,0.6266,0.627,0.6512,0.6563,0.2616,0.1237,43.91666666666666,5.593333333333334,17.17,7.399999999999999,2.623333333333333,1.7899999999999998,29.91,7.896666666666667,94.94333333333331,82.79,39.39000000000001,1.54,1.84,101.09,4.293333333333333,1141.8666666666666,24.82333333333333,0.12,-0.3266666666666666,2.4066666666666667,-0.12,-0.3833333333333333,-0.2033333333333333,-1.0833333333333333,-0.57,-3.1833333333333336,0.9633333333333334,1.3333333333333333,0.65,0.52,12.01
8906,-22.326512403653776,-52.66696992832095,0.0212,0.0231,0.0525,0.0202,0.083,0.4797,0.6394,0.6405,0.667,0.6703,0.2724,0.1294,44.88,5.376666666666666,18.15,7.706666666666667,2.7,1.7899999999999998,30.5,8.86,125.49666666666668,79.64,40.76666666666667,1.606666666666667,1.67,113.45333333333332,4.473333333333334,1071.83,21.846666666666664,0.1733333333333333,-0.4066666666666667,2.043333333333333,-0.0433333333333333,-0.4266666666666667,-0.2966666666666667,-1.4233333333333331,-0.7000000000000001,-2.803333333333333,1.9566666666666663,1.0933333333333335,0.6066666666666666,0.4000000000000001,12.42
